size,nodes,iter,visits,runtime,process
2,4,3,12,0.0,0.0
3,9,4,36,0.0,0.0
4,16,4,64,0.0,0.0
5,25,4,100,0.0,0.0
6,36,3,108,0.0,0.0
7,49,7,343,0.0,0.0
8,64,5,320,0.0,0.0
9,81,6,486,0.0,0.0
10,100,8,800,0.0,0.0
11,121,6,726,0.0,0.0
12,144,7,1008,0.0,0.0
13,169,7,1183,0.0,0.0
14,196,10,1960,0.0,0.0
15,225,7,1575,0.0,0.0
16,256,10,2560,0.0,0.0
17,289,7,2023,0.0,0.0
18,324,8,2592,0.0,0.0
19,361,11,3971,0.0,0.0
20,400,10,4000,0.0,0.0
30,900,9,8100,0.0,0.0
40,1600,22,35200,0.0,0.0
50,2500,18,45000,0.0,0.0
60,3600,29,104400,0.0,0.0
70,4900,19,93100,0.0,0.0
80,6400,40,256000,0.0,0.0
90,8100,28,226800,0.0,0.0
100,10000,35,350000,0.01,0.01
110,12100,41,496100,0.01,0.01
120,14400,45,648000,0.01,0.01
130,16900,40,676000,0.01,0.01
140,19600,59,1156400,0.02,0.02
150,22500,41,922500,0.02,0.02
160,25600,37,947200,0.02,0.02
170,28900,47,1358300,0.03,0.03
180,32400,56,1814400,0.04,0.04
190,36100,58,2093800,0.05,0.05
200,40000,63,2520000,0.05,0.05
300,90000,83,7470000,0.18,0.16
400,160000,93,14880000,0.36,0.34
500,250000,151,37750000,0.88,0.85
600,360000,143,51480000,1.27,1.21
700,490000,195,95550000,2.35,2.26
800,640000,193,123520000,3.21,3.08
900,810000,228,184680000,4.77,4.62
1000,1000000,249,249000000,6.28,6.09
2000,4000000,447,1788000000,44.4,43.6
3000,9000000,676,1789032704,147.51,145.65
4000,16000000,839,539098112,327.88,324.66
5000,25000000,1007,-594803776,619.71,614.7
6000,36000000,1254,-2100640256,1093.75,1086.49
